Name,Team,Kills,Deaths,Suicides,Caps,Assists,TKs,TKed,Maps,
Dennogin,AHNS,99,71,0,3,28,0,1,12,
Hosomi,AHNS,33,49,0,0,13,1,2,6,
Oni,AHNS,61,58,0,0,21,1,0,7,
Wahaha,AHNS,123,73,0,4,19,0,2,11,
Kudi,AHNS,109,86,3,0,26,3,1,9,
Porpoise,AHNS,71,57,0,0,18,1,0,8,
Milk,AHNS,34,35,3,0,8,0,0,4,
Kinoko,BONK,71,75,0,3,11,1,0,8,
Muffin-Dono,BONK,52,73,0,1,16,0,0,10,
Grass,BONK,55,74,0,0,18,0,0,8,
tentacleRelaxation,BONK,49,76,0,0,11,1,1,8,
Masterkatze,BONK,12,19,0,0,4,0,0,2,
Smile,BONK,29,58,0,0,7,0,1,6,
CarcanoCowboy,C2,74,85,2,0,16,1,0,9,
Rang Dipkin,C2,53,47,2,0,6,1,0,5,
8Ball,C2,41,77,1,0,14,0,2,7,
ASBO,C2,54,72,1,0,10,0,0,7,
Urektus,C2,68,86,3,0,8,1,1,9,
Haiduke,C2,9,19,0,0,2,1,0,2,
bauxite,DYS,123,89,0,0,17,1,1,10,
Infrequent,DYS,95,87,0,4,16,1,2,11,
You're Pissed Off,DYS,79,102,0,2,28,2,0,13,
Shazam,DYS,125,94,0,0,11,1,4,11,
Snoopkirb,DYS,7,8,0,0,2,0,0,1,
xx,DYS,61,94,1,0,11,3,1,11,
Lamhfhada,FLRK,91,83,2,0,20,0,0,11,
Peoplelover,FLRK,35,80,0,1,7,0,0,8,
Nice,FLRK,17,78,0,0,13,0,0,8,
hy4cin7h,FLRK,66,61,0,0,8,1,1,7,
Peoplelover,FLRK,35,80,0,1,7,0,0,8,
Hearts,FLRK,68,62,1,4,16,0,1,9,
Ninja-Foxy,FLRK,33,51,0,1,6,2,0,5,
Devastator,FLRK,12,18,0,0,1,0,1,2,
Agiel,GB,84,90,0,0,13,1,2,9,
Puddy,GB,88,89,1,1,20,4,2,9,
Marumo,GB,43,83,0,0,13,1,2,9,
totha,GB,9,31,2,0,0,0,1,4,
BK201,GB,83,80,0,0,12,3,2,9,
Miso,IKKO,83,78,1,3,19,1,0,9,
Nevra,IKKO,99,63,1,3,25,0,2,9,
Rusher,IKKO,73,42,0,0,15,0,0,6,
The_Legoracer,IKKO,15,9,0,0,2,0,0,2,
Dommler,IKKO,46,40,1,4,9,1,0,6,
3LOW,IKKO,56,57,0,0,10,0,1,5,
The Undead Corpse,IKKO,16,46,0,1,9,2,0,5,
Shinra,IKKO,33,25,0,0,9,0,1,3,
Lizard,SD,101,98,0,3,18,1,0,11,
Halcyon,SD,132,96,0,0,32,2,2,11,
PBL,SD,72,69,0,0,20,1,1,8,
DraGonM,SD,103,76,0,4,17,1,0,9,
Merit,SD,37,56,0,0,4,0,2,5,
talibus,SD,62,84,0,0,21,0,0,9,
soft as HELL,WIN,68,80,0,0,27,2,2,11,
Rain,WIN,75,57,1,2,17,1,1,11,
Deepfrog,WIN,136,66,1,0,32,1,1,11,
Sunabozu,WIN,94,65,0,3,15,1,1,11,
Sakhan,WIN,123,71,1,2,20,0,0,11,
